,DOI,Title,Source title,PubYear,Times cited,pharmaceuticals,pharm
0,10.1016/j.envpol.2017.09.029,composted biosolids and treated wastewater as sources of pharmaceuticals and personal care products for plant uptake: a case study with carbamazepine,environmental pollution,2017,78,['carbamazepine'],carbamazepine
1,10.1016/j.scitotenv.2018.05.403,"diclofenac, carbamazepine and triclocarban biodegradation in agricultural soils and the microorganisms and metabolic pathways affected",the science of the total environment,2018,64,"['carbamazepine', 'diclofenac', 'triclocarban']",carbamazepine
2,10.1016/j.scitotenv.2018.10.224,uptake and accumulation of emerging contaminants in soil and plant treated with wastewater under real-world environmental conditions in the al hayer area (saudi arabia),the science of the total environment,2018,58,"['atenolol', 'caffeine', 'carbamazepine', 'diazinon', 'gemfibrozil', 'ibuprofen', 'naproxen']",carbamazepine
3,10.1016/j.scitotenv.2019.02.279,sorption and degradation of contaminants of emerging concern in soils under aerobic and anaerobic conditions,the science of the total environment,2019,53,"['carbamazepine', 'chlorothiazide', 'diclofenac', 'gemfibrozil', 'hydrochlorothiazide', 'ibuprofen', 'nadolol', 'sulfamethizole', 'sulfamethoxazole']",carbamazepine
4,10.1016/j.scitotenv.2018.01.168,impacts of irrigation water sources and geochemical conditions on vertical distribution of pharmaceutical and personal care products (ppcps) in the vadose zone soils,the science of the total environment,2018,51,"['caffeine', 'carbamazepine']",carbamazepine
5,10.1016/j.scitotenv.2017.06.240,fate and impacts of pharmaceuticals and personal care products after repeated applications of organic waste products in long-term field experiments,the science of the total environment,2017,49,"['carbamazepine', 'diclofenac', 'doxycycline', 'ibuprofen', 'triclosan']",carbamazepine
6,10.1016/j.scitotenv.2018.12.145,"carbamazepine, triclocarban and triclosan biodegradation and the phylotypes and functional genes associated with xenobiotic degradation in four agricultural soils",the science of the total environment,2018,44,"['carbamazepine', 'triclocarban', 'triclosan']",carbamazepine
7,10.1007/s11356-019-04333-9,"root uptake of atenolol, sulfamethoxazole and carbamazepine, and their transformation in three soils and four plants",environmental science and pollution research,2019,39,"['atenolol', 'carbamazepine', 'sulfamethoxazole']",carbamazepine
8,10.1016/j.scitotenv.2018.04.212,sorption of pharmaceuticals to soil organic matter in a constructed wetland by electrostatic interaction,the science of the total environment,2018,38,"['atenolol', 'carbamazepine', 'ibuprofen']",carbamazepine
9,10.1039/c6en00419a,impact of multiwall carbon nanotubes on the accumulation and distribution of carbamazepine in collard greens ( brassica oleracea ),environmental science nano,2017,35,['carbamazepine'],carbamazepine
10,10.1016/j.scitotenv.2018.10.224,uptake and accumulation of emerging contaminants in soil and plant treated with wastewater under real-world environmental conditions in the al hayer area (saudi arabia),the science of the total environment,2018,58,"['atenolol', 'caffeine', 'carbamazepine', 'diazinon', 'gemfibrozil', 'ibuprofen', 'naproxen']",ibuprofen
11,10.1016/j.chemosphere.2017.02.027,sorption and desorption of selected non-steroidal anti-inflammatory drugs in an agricultural loam-textured soil,chemosphere,2017,55,"['diclofenac', 'ibuprofen', 'ketoprofen', 'naproxen']",ibuprofen
12,10.1016/j.jpba.2017.08.014,"multi-residue determination of 47 organic compounds in water, soil, sediment and fish—turia river as case study",journal of pharmaceutical and biomedical analysis,2017,53,"['ibuprofen', 'metoprolol', 'paracetamol', 'sulfamethoxazole', 'vildagliptin']",ibuprofen
13,10.1016/j.scitotenv.2019.02.279,sorption and degradation of contaminants of emerging concern in soils under aerobic and anaerobic conditions,the science of the total environment,2019,53,"['carbamazepine', 'chlorothiazide', 'diclofenac', 'gemfibrozil', 'hydrochlorothiazide', 'ibuprofen', 'nadolol', 'sulfamethizole', 'sulfamethoxazole']",ibuprofen
